1,6,33,36,18
48,22,11,10,27
24,25,7,12,11
24,20,19,38,43
2,20,37,12,7
34,26,35,15,7
43,26,21,31,12
7,49,28,37,22
47,35,23,34,49
20,2,6,0,40
32,17,42,22,29
31,20,38,25,36
19,43,6,47,36
47,13,24,2,5
38,0,17,20,6
32,30,46,20,10
8,2,31,40,25
15,24,37,23,11
9,26,36,46,4
5,3,30,47,46
28,46,49,33,34
34,45,44,12,20
46,13,40,49,27
28,18,45,7,27
12,9,31,22,34
2,18,17,4,8
32,42,7,4,29
30,40,22,10,44
34,30,8,17,4
39,45,2,35,44
13,49,36,23,43
39,21,2,14,49
11,40,3,32,6
21,23,34,44,3
17,43,9,2,1
25,32,16,8,49
27,43,18,31,3
4,28,5,49,32
12,20,33,3,39
27,2,17,16,9
27,20,23,32,40
28,48,17,3,27
4,33,19,10,41
12,2,16,32,9
19,14,47,48,44
10,21,37,3,23
1,48,6,43,9
1,25,35,24,47
46,31,28,22,11
7,6,39,22,11
23,6,13,8,14
1,27,26,48,16
30,38,9,36,17
15,20,30,9,45
39,48,21,34,16
5,8,0,17,32
27,49,19,42,1
9,49,32,42,10
29,20,49,21,45
20,44,1,31,19
36,49,47,16,30
15,0,9,8,17
29,32,7,28,25
21,12,49,8,11
3,17,12,10,34
35,8,26,3,20
47,16,28,36,13
41,25,6,48,42
15,33,39,10,8
9,42,16,46,12
2,36,0,45,18
3,25,2,11,16
1,17,25,45,7
48,25,35,37,19
44,19,27,41,40
46,8,12,25,28
21,30,26,14,29
17,34,4,32,49
26,37,5,3,48
32,49,35,12,48
40,5,3,12,14
49,9,16,32,25
17,24,18,3,27
35,44,34,32,38
36,16,20,47,25
23,12,21,8,45
3,33,32,27,23
43,31,34,0,2
32,25,41,45,33
5,31,7,13,40
0,28,41,11,23
32,15,37,49,5
13,45,40,12,15
5,25,38,45,13
40,9,8,3,32
40,20,4,12,27
49,14,38,18,26
27,13,41,46,18
28,35,32,47,0
21,45,15,33,43
31,45,8,21,33
36,26,40,28,2
46,28,47,20,21
21,3,1,14,44
36,33,13,40,28
37,4,1,8,47
33,21,32,42,28
24,33,16,46,5
5,35,24,43,40
26,16,40,30,7
25,34,6,42,32
36,22,47,40,3
11,7,19,33,32
47,44,14,31,6
36,22,42,7,2
45,36,37,34,28
2,15,37,39,12
11,35,13,38,31
12,0,23,3,13
34,46,40,19,35
5,33,14,38,27
5,49,34,18,17
28,1,44,9,8
18,30,9,46,43
37,3,32,46,19
15,1,21,4,41
23,46,30,36,34
17,47,43,38,1
7,26,27,1,22
27,13,7,3,14
9,25,34,24,11
3,36,21,22,8
37,21,7,4,27
30,16,13,14,24
17,38,3,43,34
22,10,39,15,40
11,7,49,6,38
43,18,31,4,39
13,40,45,18,12
31,25,10,33,19
24,45,18,2,22
41,15,21,26,45
43,41,38,3,22
43,28,48,6,41
27,42,47,17,10
22,34,16,14,20
41,4,45,19,7
45,0,47,6,1
45,47,38,3,20
12,3,22,1,43
36,7,11,46,29
18,49,34,9,42
49,1,34,2,36
43,37,35,39,38
49,2,48,37,18
24,28,48,40,32
11,7,3,0,38
31,33,46,36,8
21,12,3,9,48
22,25,16,43,20
46,14,30,43,33
43,44,47,11,19
14,13,47,45,27
48,45,30,7,13
4,23,36,10,13
49,23,5,40,31
7,43,23,3,41
6,17,9,10,26
40,3,20,42,1
8,39,37,16,31
5,41,26,9,21
27,6,19,20,12
41,17,6,33,38
17,22,12,38,10
19,11,25,6,1
27,19,4,42,21
19,22,1,48,28
31,20,21,25,9
43,25,14,37,31
43,1,5,45,21
37,49,3,9,0
23,39,44,25,16
40,2,15,19,22
32,40,20,22,44
49,24,13,3,31
3,40,0,6,47
15,25,47,17,20
36,40,6,23,42
11,22,33,31,18
20,37,0,31,6
38,47,35,42,27
49,35,31,36,30
12,21,35,39,34
39,13,45,28,7
47,18,7,9,40
16,10,26,31,3
26,45,46,32,40
18,9,33,28,44
28,46,16,20,4
23,42,13,17,44
