15,8,5,22,10,1,24,30,45,14
32,40,41,25,26,5,21,0,45,34
7,46,45,9,31,5,13,43,21,0
29,8,19,16,26,12,4,48,36,44
17,26,3,22,11,29,1,14,13,5
45,37,35,20,42,15,46,2,48,34
32,40,44,15,33,48,5,12,20,17
4,42,28,30,0,3,37,40,45,49
39,38,34,4,32,15,33,24,25,30
49,31,38,26,36,34,9,12,20,6
14,7,2,5,13,19,12,29,35,8
37,4,5,22,10,26,2,8,0,48
33,38,32,41,11,10,4,37,43,49
34,29,5,22,26,14,15,7,19,47
37,3,40,33,15,11,26,29,21,44
41,15,27,5,29,10,16,31,33,28
20,4,9,19,27,3,21,13,32,25
36,40,37,13,46,11,5,27,12,28
28,26,31,35,20,12,24,13,23,38
36,19,21,18,22,13,7,40,25,38
5,44,49,0,37,31,23,39,30,29
26,38,44,23,21,41,27,3,8,0
43,6,18,31,12,1,15,3,45,24
27,15,6,30,4,1,26,9,38,43
27,41,32,20,46,10,36,34,49,24
40,32,48,7,20,4,30,43,10,27
19,41,8,46,31,37,3,0,2,28
18,21,5,16,48,43,29,41,9,8
40,7,10,23,31,37,35,6,9,4
35,36,12,5,20,7,34,38,30,13
0,37,28,4,3,40,39,13,47,41
39,34,31,21,30,32,40,8,49,48
38,16,43,13,9,30,29,12,31,1
11,47,25,34,7,18,26,37,3,27
29,10,14,27,5,49,36,25,22,13
2,46,44,32,11,49,15,9,22,0
23,32,30,34,1,5,36,22,29,48
17,33,20,31,21,19,41,11,36,42
33,16,44,31,35,28,7,12,46,39
43,47,31,26,49,41,33,32,42,48
47,4,24,3,29,37,39,35,21,45
40,19,44,30,21,43,17,33,2,18
39,40,1,22,9,44,34,31,17,47
5,18,43,42,9,33,11,32,26,25
49,32,29,26,10,40,39,46,42,48
11,24,0,18,46,10,47,1,15,27
28,21,5,33,0,26,16,7,31,30
24,0,29,27,38,37,6,12,18,10
31,35,24,41,40,15,0,26,21,28
48,24,38,28,36,1,40,35,33,42
24,39,48,22,2,45,17,49,1,42
15,45,0,5,8,26,24,2,29,6
15,8,7,6,13,38,42,5,29,37
11,3,46,36,8,22,38,12,24,13
24,28,33,43,38,45,49,5,23,44
16,15,18,12,27,40,47,7,38,5
11,38,4,19,31,26,42,5,24,37
25,26,40,12,8,18,39,0,20,14
10,12,49,17,7,30,11,24,25,35
7,6,45,16,44,27,40,9,5,23
14,24,5,9,32,46,39,22,33,3
6,42,37,23,29,3,20,25,22,7
26,19,3,15,16,6,48,9,22,46
25,14,0,31,38,16,34,28,17,5
26,38,2,21,25,14,42,40,9,11
18,0,47,19,49,15,33,6,25,44
21,7,5,28,30,41,13,29,39,20
21,27,47,33,8,45,1,13,25,36
45,26,39,16,44,3,8,37,13,34
23,21,28,15,19,38,27,24,39,3
