30,22,23,38,32
42,28,24,44,7
43,13,7,44,19
26,0,44,29,46
42,7,40,22,24
2,11,40,32,36
47,11,15,6,30
43,32,24,26,28
8,48,32,36,34
48,4,45,40,44
33,2,43,18,3
6,4,38,15,19
21,17,7,4,5
17,3,20,18,7
36,27,0,46,4
30,34,37,19,14
36,15,1,19,45
42,40,47,37,22
5,2,20,29,9
31,15,7,25,26
14,40,1,23,29
16,34,8,42,33
38,42,5,7,19
40,24,37,34,41
45,6,4,31,13
15,16,47,4,1
48,7,16,42,14
33,42,8,7,27
34,28,17,10,45
43,20,5,24,1
27,15,3,45,30
32,35,22,6,40
1,40,26,32,36
3,46,5,13,49
35,29,37,7,26
28,25,29,36,46
1,9,12,43,44
6,30,32,8,10
20,16,10,32,36
44,48,3,2,12
42,21,29,46,10
23,10,14,3,6
20,25,15,21,46
15,30,24,44,13
36,22,34,13,19
10,6,15,22,13
43,0,21,45,9
21,33,42,43,23
15,22,33,49,47
13,38,17,39,11
34,38,46,0,33
24,1,14,27,15
2,40,10,32,39
4,36,2,12,46
39,40,43,15,11
5,28,34,7,6
15,25,24,12,28
20,12,35,26,25
29,30,43,6,1
13,2,6,43,28
31,15,43,47,29
28,3,29,8,21
6,37,32,7,18
26,12,3,7,36
41,0,34,19,42
29,46,10,17,18
8,11,23,29,31
20,24,10,39,27
48,45,23,12,39
15,40,43,32,34
20,40,31,49,36
31,12,15,8,17
2,3,24,46,6
22,18,32,30,47
21,31,40,32,43
11,27,32,24,20
3,30,1,28,11
1,15,38,11,25
11,12,9,21,20
18,10,42,5,34
5,16,7,33,30
45,0,47,32,17
32,36,11,30,43
34,24,8,42,2
43,37,39,19,13
28,8,45,49,14
21,23,24,28,46
38,14,47,23,39
43,27,29,12,16
10,37,22,30,1
3,39,32,46,5
22,17,0,13,31
13,35,11,27,17
19,29,45,5,41
27,6,48,39,21
22,1,9,38,4
17,13,37,30,5
26,33,37,15,24
6,23,13,4,33
19,12,44,36,33
24,11,3,35,20
11,39,46,17,43
41,40,13,3,42
32,29,37,25,26
5,34,13,42,21
36,38,11,28,45
25,15,1,37,12
16,22,48,25,8
1,28,44,19,2
30,39,24,8,12
48,42,1,14,13
13,16,46,17,33
45,19,9,7,26
17,42,37,14,31
34,39,33,28,32
29,5,26,49,48
28,12,30,43,45
39,9,21,0,18
47,11,30,29,28
21,14,30,48,26
10,46,39,26,44
1,26,14,27,8
3,31,19,8,24
16,5,43,24,32
5,21,43,44,30
40,19,24,7,32
21,0,4,47,30
1,22,4,24,15
30,24,14,35,46
42,14,46,29,5
30,49,5,4,38
25,34,21,43,6
13,18,47,39,43
19,37,15,49,23
34,25,11,33,37
5,4,43,23,9
0,17,38,43,3
45,26,15,1,18
22,14,31,11,8
27,34,46,24,16
0,9,18,22,20
36,34,37,19,45
3,6,38,30,4
0,7,5,3,9
22,27,7,6,32
26,43,39,40,34
33,26,23,43,17
26,7,47,33,43
9,6,44,23,15
18,8,49,48,41
11,37,49,34,8
5,11,13,10,23
41,23,2,29,5
41,15,20,12,39
14,33,49,47,45
4,25,28,14,3
3,12,48,8,19
7,43,46,6,19
24,23,6,36,1
40,31,14,1,42
24,39,2,34,22
44,42,49,25,41
9,4,19,49,17
23,28,39,21,30
35,26,1,12,29
0,39,19,22,10
31,48,49,14,1
18,43,27,45,41
3,4,14,29,49
29,9,32,41,46
22,15,19,3,24
44,12,33,35,43
43,33,45,8,6
39,44,12,24,40
23,49,26,44,6
49,30,11,36,9
33,36,32,37,11
4,17,45,13,26
23,31,11,36,47
37,17,44,34,36
49,13,9,42,28
45,24,39,9,36
29,17,21,10,39
9,2,6,36,27
36,13,46,4,8
21,24,1,20,10
42,23,33,2,45
31,38,30,16,24
7,4,49,32,2
20,43,44,34,9
14,36,11,42,30
0,44,2,1,10
10,17,15,4,34
47,15,46,37,22
36,27,12,7,18
49,32,45,37,36
5,23,2,28,3
41,48,44,46,42
7,17,14,34,48
38,6,3,27,32
